"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8733M",3419,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,630,624,-6,0,0,-1,"0600-0659",33,657,819,10,820,829,9,9,0,0,"0800-0859",0,"",0,110,125,82,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8822Q",738,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10821,1082106,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,615,616,1,1,0,0,"0600-0659",27,643,736,4,720,740,20,20,1,1,"0700-0759",0,"",0,65,84,53,1,210,1,0,0,20,0,0,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8826Q",3286,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1410,1407,-3,0,0,-1,"1400-1459",28,1435,1441,5,1435,1446,11,11,0,0,"1400-1459",0,"",0,85,99,66,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8830Q",363,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,15304,1530402,33195,"TPA","Tampa, FL","FL",12,"Florida",33,730,727,-3,0,0,-1,"0700-0759",35,802,1004,4,1000,1008,8,8,0,0,"1000-1059",0,"",0,150,161,122,1,873,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N901WN",3575,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14635,1463502,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,1610,1606,-4,0,0,-1,"1600-1659",11,1617,1838,3,1850,1841,-9,0,0,-1,"1800-1859",0,"",0,160,155,141,1,966,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N138HQ",4440,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12478,1247805,31703,"JFK","New York, NY","NY",36,"New York",22,1821,1816,-5,0,0,-1,"1800-1859",32,1848,1955,6,2000,2001,1,1,0,0,"2000-2059",0,"",0,99,105,67,1,340,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N210JQ",5690,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,715,705,-10,0,0,-1,"0700-0759",23,728,844,8,901,852,-9,0,0,-1,"0900-0959",0,"",0,106,107,76,1,496,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N214JQ",5805,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,630,623,-7,0,0,-1,"0600-0659",30,653,738,10,747,748,1,1,0,0,"0700-0759",0,"",0,77,85,45,1,201,1,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N228JQ",5739,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12953,1295304,31703,"LGA","New York, NY","NY",36,"New York",22,1015,1011,-4,0,0,-1,"1000-1059",11,1022,1118,7,1143,1125,-18,0,0,-2,"1100-1159",0,"",0,88,74,56,1,335,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","YX",20452,"YX","N229JQ",5837,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1759,1752,-7,0,0,-1,"1700-1759",59,1851,1938,11,1916,1949,33,33,1,2,"1900-1959",0,"",0,77,117,47,1,201,1,0,0,33,0,0,NA,NA,NA
